"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 09:23:14 GMT 2024","Fri Feb 02 09:23:16 GMT 2024","2133","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeRemovedViaApi","Remove Suite via API",""
"passed","Fri Feb 02 09:22:17 GMT 2024","Fri Feb 02 09:22:19 GMT 2024","1797","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyPasswordLogin","Unsuccessful login with empty password",""
"passed","Fri Feb 02 09:24:15 GMT 2024","Fri Feb 02 09:24:25 GMT 2024","10129","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeDeleted","Remove Project",""
"passed","Fri Feb 02 09:22:20 GMT 2024","Fri Feb 02 09:22:22 GMT 2024","2723","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidEmailLogin","Unsuccessful login with invalid Email",""
"passed","Fri Feb 02 09:22:31 GMT 2024","Fri Feb 02 09:22:47 GMT 2024","16912","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeCreated","Create Suite",""
"broken","Fri Feb 02 09:24:54 GMT 2024","Fri Feb 02 09:24:55 GMT 2024","1409","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeRemovedViaApi","Remove Test Case via API",""
"passed","Fri Feb 02 09:24:40 GMT 2024","Fri Feb 02 09:24:44 GMT 2024","4164","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Fri Feb 02 09:22:39 GMT 2024","Fri Feb 02 09:23:04 GMT 2024","25070","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeRemoved","Remove Test Case",""
"passed","Fri Feb 02 09:23:00 GMT 2024","Fri Feb 02 09:23:12 GMT 2024","12459","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
"failed","Fri Feb 02 09:23:49 GMT 2024","Fri Feb 02 09:24:07 GMT 2024","17722","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeUpdated","Update Test Case",""
