"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 08:05:53 GMT 2024","Thu Feb 01 08:05:56 GMT 2024","3201","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Thu Feb 01 08:03:52 GMT 2024","Thu Feb 01 08:03:54 GMT 2024","1908","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidPasswordLogin","Unsuccessful login with invalid password",""
"passed","Thu Feb 01 08:04:36 GMT 2024","Thu Feb 01 08:04:37 GMT 2024","666","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeCreatedViaApi","Create Suite via API",""
"passed","Thu Feb 01 08:04:14 GMT 2024","Thu Feb 01 08:04:21 GMT 2024","7080","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeRemoved","Remove Suite",""
"passed","Thu Feb 01 08:04:22 GMT 2024","Thu Feb 01 08:04:36 GMT 2024","14017","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
"passed","Thu Feb 01 08:05:40 GMT 2024","Thu Feb 01 08:05:49 GMT 2024","9095","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeUpdated","Update Project",""
"passed","Thu Feb 01 08:05:57 GMT 2024","Thu Feb 01 08:05:58 GMT 2024","823","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Create Test Case via API",""
"passed","Thu Feb 01 08:03:41 GMT 2024","Thu Feb 01 08:03:43 GMT 2024","2832","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyEmailLogin","Unsuccessful login with empty email",""
"passed","Thu Feb 01 08:05:57 GMT 2024","Thu Feb 01 08:05:57 GMT 2024","561","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeRemovedViaApi","Remove Project via API",""
"passed","Thu Feb 01 08:05:49 GMT 2024","Thu Feb 01 08:05:53 GMT 2024","3240","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectCode","Create Project with empty project code",""
