"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 18:25:35 GMT 2024","Mon Feb 12 18:25:57 GMT 2024","22009","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeCreated","Create Test Case",""
"passed","Mon Feb 12 18:26:14 GMT 2024","Mon Feb 12 18:26:16 GMT 2024","1996","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeRemovedViaApi","Remove Suite via API",""
"passed","Mon Feb 12 18:25:32 GMT 2024","Mon Feb 12 18:25:44 GMT 2024","11481","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeCreated","Create Suite",""
"passed","Mon Feb 12 18:27:26 GMT 2024","Mon Feb 12 18:27:30 GMT 2024","4112","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Mon Feb 12 18:25:28 GMT 2024","Mon Feb 12 18:25:32 GMT 2024","3526","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login",""
"passed","Mon Feb 12 18:27:20 GMT 2024","Mon Feb 12 18:27:25 GMT 2024","5065","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectCode","Create Project with empty project code",""
"passed","Mon Feb 12 18:25:14 GMT 2024","Mon Feb 12 18:25:17 GMT 2024","2952","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyEmailLogin","Unsuccessful login with empty email",""
"passed","Mon Feb 12 18:27:31 GMT 2024","Mon Feb 12 18:27:32 GMT 2024","1207","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeRemovedViaApi","Remove Project via API",""
"passed","Mon Feb 12 18:25:25 GMT 2024","Mon Feb 12 18:25:28 GMT 2024","2178","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidPasswordLogin","Unsuccessful login with invalid password",""
"passed","Mon Feb 12 18:25:56 GMT 2024","Mon Feb 12 18:26:12 GMT 2024","15954","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
