"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 17:29:38 GMT 2024","Mon Feb 12 17:29:51 GMT 2024","13247","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
"passed","Mon Feb 12 17:29:13 GMT 2024","Mon Feb 12 17:29:17 GMT 2024","3908","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login",""
"passed","Mon Feb 12 17:28:59 GMT 2024","Mon Feb 12 17:29:22 GMT 2024","23626","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeCreated","Create Test Case",""
"passed","Mon Feb 12 17:31:54 GMT 2024","Mon Feb 12 17:31:58 GMT 2024","4294","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Mon Feb 12 17:29:54 GMT 2024","Mon Feb 12 17:29:56 GMT 2024","1587","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeUpdatedViaApi","Update Suite via API",""
"passed","Mon Feb 12 17:32:00 GMT 2024","Mon Feb 12 17:32:02 GMT 2024","1429","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Create Test Case via API",""
"passed","Mon Feb 12 17:29:02 GMT 2024","Mon Feb 12 17:29:04 GMT 2024","1629","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyInputLogin","Unsuccessful login with empty input",""
"passed","Mon Feb 12 17:29:18 GMT 2024","Mon Feb 12 17:29:29 GMT 2024","10648","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeCreated","Create Suite",""
"passed","Mon Feb 12 17:29:52 GMT 2024","Mon Feb 12 17:29:53 GMT 2024","1097","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeCreatedViaApi","Create Suite via API",""
"passed","Mon Feb 12 17:29:53 GMT 2024","Mon Feb 12 17:29:54 GMT 2024","1735","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeRemovedViaApi","Remove Suite via API",""
"passed","Mon Feb 12 17:29:10 GMT 2024","Mon Feb 12 17:29:13 GMT 2024","2706","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidPasswordLogin","Unsuccessful login with invalid password",""
"passed","Mon Feb 12 17:31:58 GMT 2024","Mon Feb 12 17:31:59 GMT 2024","882","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeCreatedViaApi","Create Project via API",""
"passed","Mon Feb 12 17:31:23 GMT 2024","Mon Feb 12 17:31:29 GMT 2024","6425","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeCreated","Create Project",""
"passed","Mon Feb 12 17:29:29 GMT 2024","Mon Feb 12 17:29:38 GMT 2024","8480","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeRemoved","Remove Suite",""
"passed","Mon Feb 12 17:31:49 GMT 2024","Mon Feb 12 17:31:53 GMT 2024","4038","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectCode","Create Project with empty project code",""
