"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 17:28:59 GMT 2024","Mon Feb 12 17:29:02 GMT 2024","2901","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyEmailLogin","Unsuccessful login with empty email",""
"passed","Mon Feb 12 17:32:02 GMT 2024","Mon Feb 12 17:32:04 GMT 2024","2041","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeRemovedViaApi","Remove Test Case via API",""
"passed","Mon Feb 12 17:31:30 GMT 2024","Mon Feb 12 17:31:39 GMT 2024","9453","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeDeleted","Remove Project",""
"failed","Mon Feb 12 17:30:00 GMT 2024","Mon Feb 12 17:30:19 GMT 2024","19211","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeRemoved","Remove Test Case",""
"passed","Mon Feb 12 17:29:07 GMT 2024","Mon Feb 12 17:29:09 GMT 2024","2253","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidEmailLogin","Unsuccessful login with invalid Email",""
"passed","Mon Feb 12 17:32:04 GMT 2024","Mon Feb 12 17:32:05 GMT 2024","1696","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeUpdatedViaApi","Update Test Case via API",""
"passed","Mon Feb 12 17:31:41 GMT 2024","Mon Feb 12 17:31:49 GMT 2024","8137","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeUpdated","Update Project",""
"passed","Mon Feb 12 17:31:01 GMT 2024","Mon Feb 12 17:31:22 GMT 2024","21280","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeUpdated","Update Test Case",""
"passed","Mon Feb 12 17:31:59 GMT 2024","Mon Feb 12 17:32:00 GMT 2024","1090","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeRemovedViaApi","Remove Project via API",""
"passed","Mon Feb 12 17:29:04 GMT 2024","Mon Feb 12 17:29:06 GMT 2024","1789","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyPasswordLogin","Unsuccessful login with empty password",""
