"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 17:23:27 GMT 2024","Mon Feb 12 17:23:48 GMT 2024","20944","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeUpdated","Update Test Case",""
"passed","Mon Feb 12 17:22:23 GMT 2024","Mon Feb 12 17:22:43 GMT 2024","20401","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeCreated","Create Test Case",""
"passed","Mon Feb 12 17:22:23 GMT 2024","Mon Feb 12 17:22:26 GMT 2024","3138","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyEmailLogin","Unsuccessful login with empty email",""
"passed","Mon Feb 12 17:23:41 GMT 2024","Mon Feb 12 17:23:42 GMT 2024","1042","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeRemovedViaApi","Remove Suite via API",""
"passed","Mon Feb 12 17:22:31 GMT 2024","Mon Feb 12 17:22:33 GMT 2024","2122","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidEmailLogin","Unsuccessful login with invalid Email",""
"passed","Mon Feb 12 17:24:18 GMT 2024","Mon Feb 12 17:24:22 GMT 2024","3485","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectCode","Create Project with empty project code",""
"passed","Mon Feb 12 17:24:22 GMT 2024","Mon Feb 12 17:24:25 GMT 2024","3275","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldNotBeCreatedEmptyProjectName","Create Project with empty project name",""
"passed","Mon Feb 12 17:24:11 GMT 2024","Mon Feb 12 17:24:18 GMT 2024","6888","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeUpdated","Update Project",""
"passed","Mon Feb 12 17:22:37 GMT 2024","Mon Feb 12 17:22:40 GMT 2024","2867","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","successfulLogin","Successful login",""
"passed","Mon Feb 12 17:22:34 GMT 2024","Mon Feb 12 17:22:36 GMT 2024","2262","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","invalidPasswordLogin","Unsuccessful login with invalid password",""
"passed","Mon Feb 12 17:22:29 GMT 2024","Mon Feb 12 17:22:31 GMT 2024","1721","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyPasswordLogin","Unsuccessful login with empty password",""
"passed","Mon Feb 12 17:22:44 GMT 2024","Mon Feb 12 17:23:05 GMT 2024","21416","QaseIO Smoke Test","Thread #2","tests.TestCaseTest","tests.TestCaseTest","testCaseShouldBeRemoved","Remove Test Case",""
"passed","Mon Feb 12 17:23:40 GMT 2024","Mon Feb 12 17:23:41 GMT 2024","613","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeCreatedViaApi","Create Suite via API",""
"passed","Mon Feb 12 17:24:02 GMT 2024","Mon Feb 12 17:24:10 GMT 2024","8137","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeDeleted","Remove Project",""
"passed","Mon Feb 12 17:24:28 GMT 2024","Mon Feb 12 17:24:29 GMT 2024","898","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeUpdatedViaApi","Update Test Case via API",""
"passed","Mon Feb 12 17:23:48 GMT 2024","Mon Feb 12 17:23:54 GMT 2024","5451","QaseIO Smoke Test","Thread #2","tests.ProjectTest","tests.ProjectTest","projectShouldBeCreated","Create Project",""
"passed","Mon Feb 12 17:24:27 GMT 2024","Mon Feb 12 17:24:28 GMT 2024","1072","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeRemovedViaApi","Remove Test Case via API",""
"passed","Mon Feb 12 17:23:10 GMT 2024","Mon Feb 12 17:23:21 GMT 2024","10490","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeCreated","Create Suite",""
"passed","Mon Feb 12 17:23:42 GMT 2024","Mon Feb 12 17:23:42 GMT 2024","830","QaseIO Smoke Test","Thread #1","tests.SuiteApiTest","tests.SuiteApiTest","suiteShouldBeUpdatedViaApi","Update Suite via API",""
"passed","Mon Feb 12 17:24:26 GMT 2024","Mon Feb 12 17:24:27 GMT 2024","778","QaseIO Smoke Test","Thread #2","tests.TestCaseApiTest","tests.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Create Test Case via API",""
"passed","Mon Feb 12 17:22:27 GMT 2024","Mon Feb 12 17:22:28 GMT 2024","1531","QaseIO Smoke Test","Thread #1","tests.LoginTest","tests.LoginTest","emptyInputLogin","Unsuccessful login with empty input",""
"passed","Mon Feb 12 17:24:26 GMT 2024","Mon Feb 12 17:24:26 GMT 2024","527","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeRemovedViaApi","Remove Project via API",""
"passed","Mon Feb 12 17:23:21 GMT 2024","Mon Feb 12 17:23:29 GMT 2024","7436","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeRemoved","Remove Suite",""
"passed","Mon Feb 12 17:24:25 GMT 2024","Mon Feb 12 17:24:26 GMT 2024","477","QaseIO Smoke Test","Thread #2","tests.ProjectApiTest","tests.ProjectApiTest","projectShouldBeCreatedViaApi","Create Project via API",""
"passed","Mon Feb 12 17:23:29 GMT 2024","Mon Feb 12 17:23:40 GMT 2024","10537","QaseIO Smoke Test","Thread #1","tests.SuiteTest","tests.SuiteTest","suiteShouldBeUpdated","Update Suite",""
